"ID";"Nomo";"ISO-kodo"
7;"Sirio";"SY"
8;"Au^strio";"AT"
9;"C^inio";"CN"
10;"Belgio";"BE"
11;"Benino";"BJ"
12;"Britio";"GB"
13;"Danlando";"DK"
14;"Finnlando";"FI"
15;"Francio";"FR"
16;"Germanio";"DE"
17;"Hispanio";"ES"
18;"Hungario";"HU"
19;"Irlando";"IE"
20;"Irano";"IR"
21;"Italio";"IT"
22;"Jugoslavio";"YU"
23;"Kanado";"CA"
24;"Lih^tens^tejno";"LI"
25;"Luksemburgio";"LU"
26;"Litovio";"LT"
27;"Meksiko";"MX"
28;"Monako";"MC"
29;"Nederlando";"NL"
30;"Norvegio";"NO"
31;"Pollando";"PL"
32;"Portugalio";"PT"
33;"Rusio";"RU"
34;"San Marino";"SM"
35;"Slovakio";"SK"
36;"Svedio";"SE"
37;"Svislando";"CH"
38;"Urugvajo";"UY"
39;"Usono";"US"
40;"Vatikano";"VA"
41;"Andoro";"AD"
42;"C^eh^io";"CZ"
43;"Grekio";"GR"
44;"Kroatio";"HR"
45;"Malto";"MT"
46;"Slovenio";"SI"
47;"Alia Lando";
48;"Kongo";"CD"
49;"Ghanao";"GH"
50;"Kasah^stano";"KZ"
51;"Pakistanio";"PK"
52;"Romanio";"RO"
55;"Ukrainio";"UA"
56;"Nig^erio";"NG"
57;"Nepalo";"NP"
58;"Hindujo";"IN"
59;"Brazilo";"BR"
60;"Angolo";"AO"
61;"Ebur-Bordo";"CI"
62;"Israelo";"IS"
63;"Japanio";"JP"
64;"Suda Koreio";"KR"
65;"Makedonio";"MK"
66;"Togo";"TG"
67;"Argentinio";"AR"
69;"Bosnio";"BA"
70;"Bulgario";"BG"
72;"Latvio";"LV"
74;"Senegalo";"SN"
75;"Moldavujo";"MD"
76;"Malio";"ML"
77;"Katalunio";
78;"Alg^erio";"DZ"
79;"Serbio";"RS"
80;"Montenegro";"ME"
82;"Kubo";"CU"
